,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
35,237349642,12/04/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,M,20,0,25-44,M,BLACK,991040,225092,40.784507365000024,-73.97548255699995,POINT (-73.97548255699996 40.78450736500002)
42,236241282,11/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1554001,F,Q,113,3,25-44,M,BLACK,1046315,187088,40.67998073800004,-73.77623390699993,POINT (-73.77623390699993 40.67998073800004)
72,238227651,12/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,18-24,M,BLACK,985802,213781,40.753464076000064,-73.99439974299997,POINT (-73.99439974299997 40.75346407600006)
73,236062037,11/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,17,0,25-44,F,ASIAN / PACIFIC ISLANDER,992254,214997,40.75679820100004,-73.97111078699999,POINT (-73.97111078699999 40.75679820100004)
84,237580745,12/09/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,48,0,<18,F,BLACK,1019229,244207,40.836906078000034,-73.87359170899998,POINT (-73.87359170899998 40.83690607800003)
93,237563951,12/08/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,47,0,<18,M,BLACK,1025927,261467,40.88425045200007,-73.84927869299997,POINT (-73.84927869299997 40.88425045200007)
94,236831787,11/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,44,0,45-64,M,BLACK,1003307,239962,40.82530348200004,-73.93114385699994,POINT (-73.93114385699994 40.82530348200004)
142,236157166,11/11/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,44,0,25-44,M,WHITE HISPANIC,1008274,245226,40.83973953100008,-73.91317803199999,POINT (-73.91317803199998 40.83973953100008)
152,237013229,11/28/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,K,72,0,18-24,M,UNKNOWN,978970,172542,40.64027117000006,-74.01902646799994,POINT (-74.01902646799994 40.64027117000006)
164,236546003,11/19/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,47,0,18-24,M,BLACK,1021972,265517,40.89538420400004,-73.86355891299998,POINT (-73.86355891299998 40.89538420400004)
171,237117994,11/30/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,103,0,25-44,F,BLACK,1041879,197084,40.707447364000075,-73.79214176799998,POINT (-73.79214176799998 40.707447364000075)
176,236423431,11/18/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,109,0,25-44,M,WHITE,1030101,224098,40.78166278200007,-73.83443908599996,POINT (-73.83443908599996 40.78166278200007)
201,238359817,12/28/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,M,14,0,45-64,M,BLACK,985802,213781,40.753464076000064,-73.99439974299997,POINT (-73.99439974299997 40.75346407600006)
213,238013468,12/18/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,104,0,25-44,M,WHITE,1011796,193499,40.697752173000026,-73.900661427,POINT (-73.900661427 40.697752173000026)
217,236394746,11/18/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,113,0,25-44,M,BLACK,1046405,187113,40.680048726000045,-73.77590919399995,POINT (-73.77590919399995 40.680048726000045)
231,238230257,12/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,110,0,18-24,M,WHITE HISPANIC,1018767,207199,40.73533091600007,-73.87545147199995,POINT (-73.87545147199995 40.73533091600007)
232,237375822,12/05/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,18,0,18-24,M,BLACK,991531,217373,40.763320339000074,-73.97371790399995,POINT (-73.97371790399995 40.763320339000074)
239,237969457,12/17/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,M,13,0,25-44,M,WHITE HISPANIC,987204,206766,40.73420929300004,-73.98934251699995,POINT (-73.98934251699995 40.73420929300004)
252,237955309,12/16/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,18,0,25-44,F,BLACK,991663,217612,40.763976222000046,-73.97324113499997,POINT (-73.97324113499997 40.763976222000046)
261,237805704,12/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,19,0,65+,F,WHITE,994297,218680,40.76690500600006,-73.96373101899997,POINT (-73.96373101899997 40.76690500600006)
262,237287603,12/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,S,122,0,25-44,F,BLACK,954801,148466,40.57414012800007,-74.10600776499997,POINT (-74.10600776499997 40.57414012800007)
268,238135305,12/22/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,10,0,25-44,M,BLACK,984686,209908,40.74283378800004,-73.99842802399995,POINT (-73.99842802399996 40.74283378800004)
290,238079222,12/20/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,107,0,25-44,F,BLACK,1036628,204948,40.72906475000008,-73.81102013199995,POINT (-73.81102013199995 40.72906475000008)
312,236268237,11/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,18,0,45-64,M,WHITE,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
315,238052217,12/19/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,48,0,45-64,M,BLACK,1014334,253189,40.861577030000035,-73.89124130899995,POINT (-73.89124130899995 40.861577030000035)
317,236004404,11/08/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,M,13,1,18-24,M,BLACK,987048,206851,40.73444264900007,-73.98990537699996,POINT (-73.98990537699996 40.73444264900007)
334,236117724,11/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,28,0,45-64,M,BLACK,997440,233857,40.80855767700007,-73.95235475399994,POINT (-73.95235475399994 40.80855767700007)
341,237098134,11/30/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,19,0,25-44,M,BLACK,994297,218680,40.76690500600006,-73.96373101899997,POINT (-73.96373101899997 40.76690500600006)
392,237178736,12/01/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,105,0,25-44,M,WHITE HISPANIC,1062954,204990,40.728984966000034,-73.71603523599998,POINT (-73.71603523599998 40.728984966000034)
397,237901635,12/16/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,113,0,45-64,M,ASIAN / PACIFIC ISLANDER,1051036,182235,40.66662603200007,-73.75926110399995,POINT (-73.75926110399996 40.66662603200007)
398,237808293,12/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,20,0,45-64,M,BLACK,991040,225092,40.784507365000024,-73.97548255699995,POINT (-73.97548255699996 40.78450736500002)
432,237366453,12/05/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,30,1,45-64,M,BLACK,999539,239499,40.82404000400004,-73.94475961199998,POINT (-73.94475961199998 40.82404000400004)
465,237007033,11/27/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,18-24,M,BLACK,987220,212676,40.750430768000044,-73.98928217599996,POINT (-73.98928217599996 40.75043076800005)
481,237060479,11/29/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,9,0,25-44,M,WHITE,986930,206925,40.73464579700004,-73.99033112999997,POINT (-73.99033112999997 40.73464579700004)
484,237805717,12/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,20,0,45-64,M,BLACK,991040,225092,40.784507365000024,-73.97548255699995,POINT (-73.97548255699996 40.78450736500002)
489,237900215,12/15/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,41,0,25-44,M,BLACK,1013086,236614,40.81608766100004,-73.89582435399994,POINT (-73.89582435399994 40.81608766100004)
523,237954615,12/16/2021,440.0,AGGRAVATED GRAND LARCENY OF ATM,109.0,GRAND LARCENY,PL 1553502,F,Q,105,0,45-64,M,WHITE HISPANIC,1054359,203570,40.72515972700006,-73.74706084499995,POINT (-73.74706084499996 40.72515972700006)
527,237826816,12/14/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,Q,115,0,25-44,M,BLACK,1018714,214946,40.756594678000056,-73.87560301799994,POINT (-73.87560301799994 40.756594678000056)
579,236715657,11/21/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,Q,113,0,18-24,M,ASIAN / PACIFIC ISLANDER,1046405,187113,40.680048726000045,-73.77590919399995,POINT (-73.77590919399995 40.680048726000045)
585,238242066,12/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,110,0,65+,M,WHITE HISPANIC,1019826,206650,40.73381985200007,-73.87163311999996,POINT (-73.87163311999996 40.73381985200007)
604,236843497,11/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,114,0,25-44,M,BLACK,1006432,215383,40.75783347300006,-73.91993364599993,POINT (-73.91993364599993 40.75783347300006)
613,237308092,12/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,48,0,18-24,M,BLACK HISPANIC,1012644,247600,40.84624249400008,-73.89737468799996,POINT (-73.89737468799996 40.84624249400008)
636,237514457,12/08/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,B,43,0,18-24,M,WHITE HISPANIC,1020183,239283,40.82338729100008,-73.87017045,POINT (-73.87017045 40.82338729100008)
669,237670102,12/10/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,69,0,18-24,M,BLACK,1016472,172280,40.63949500300004,-73.88389965799998,POINT (-73.88389965799998 40.63949500300004)
674,237233626,12/02/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,114,0,25-44,M,BLACK,1007694,219657,40.76956124200007,-73.91536344699995,POINT (-73.91536344699995 40.76956124200007)
683,236250977,11/14/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,M,18,0,25-44,M,BLACK,988312,215690,40.758703000000025,-73.98533912699997,POINT (-73.98533912699997 40.758703000000025)
694,237006888,11/27/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,14,0,18-24,M,BLACK,987220,212676,40.750430768000044,-73.98928217599996,POINT (-73.98928217599996 40.75043076800005)
701,236392686,11/17/2021,409.0,"LARCENY,GRAND BY EXTORTION",109.0,GRAND LARCENY,PL 1554002,F,K,75,0,25-44,M,WHITE HISPANIC,1016390,179478,40.659252236000036,-73.88416082099997,POINT (-73.88416082099997 40.659252236000036)
705,236334357,11/16/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1554001,F,Q,102,3,25-44,F,BLACK,1031165,199400,40.71386751600005,-73.83076940999997,POINT (-73.83076940999997 40.71386751600005)
722,236125029,11/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,43,0,45-64,M,WHITE HISPANIC,1017670,239800,40.82481617400003,-73.87924768599999,POINT (-73.87924768599999 40.82481617400003)
748,237927369,12/16/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,M,20,0,18-24,M,BLACK,991040,225092,40.784507365000024,-73.97548255699995,POINT (-73.97548255699996 40.78450736500002)
756,236307764,11/15/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553003,F,K,62,0,25-44,F,BLACK,984531,156763,40.59696265600007,-73.99898958999995,POINT (-73.99898958999995 40.59696265600007)
773,237784084,12/13/2021,440.0,AGGRAVATED GRAND LARCENY OF ATM,109.0,GRAND LARCENY,PL 1553502,F,K,77,0,18-24,M,BLACK,1001462,183424,40.670124730000055,-73.93795497899998,POINT (-73.93795497899998 40.670124730000055)
775,237589543,12/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,110,0,25-44,M,WHITE HISPANIC,1020237,210724,40.74500029700005,-73.87012832399995,POINT (-73.87012832399995 40.74500029700005)
787,236909936,11/24/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,18,0,25-44,M,WHITE HISPANIC,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
838,237664478,12/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,109,0,25-44,M,ASIAN / PACIFIC ISLANDER,1035594,218123,40.76523280300006,-73.81465023999993,POINT (-73.81465023999993 40.76523280300006)
848,236484414,11/19/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,18,0,25-44,M,WHITE HISPANIC,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
858,237298981,12/03/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,102,0,25-44,M,WHITE HISPANIC,1031076,193779,40.69843969400005,-73.83112953899997,POINT (-73.83112953899997 40.69843969400005)
920,237485618,12/07/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,24,0,45-64,F,BLACK,993186,231372,40.80174236200002,-73.96772493099995,POINT (-73.96772493099996 40.80174236200002)
925,236916233,11/24/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,25,0,25-44,M,BLACK,1000598,231062,40.800880893000055,-73.94095380699997,POINT (-73.94095380699997 40.800880893000055)
964,238098693,12/20/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,5,0,18-24,F,BLACK,984984,200116,40.71595711700007,-73.997353676,POINT (-73.997353676 40.71595711700007)
967,238168310,12/21/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,25-44,F,WHITE,987220,212676,40.750430768000044,-73.98928217599996,POINT (-73.98928217599996 40.75043076800005)
998,236063609,11/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,18,0,25-44,F,ASIAN / PACIFIC ISLANDER,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
1014,236843486,11/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,114,0,25-44,M,BLACK,1006432,215383,40.75783347300006,-73.91993364599993,POINT (-73.91993364599993 40.75783347300006)
1035,236811144,11/22/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,32,0,25-44,M,BLACK,1001093,236689,40.81632452000007,-73.93915179099997,POINT (-73.93915179099997 40.81632452000007)
1048,238325392,12/27/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,62,0,25-44,M,WHITE,991581,161061,40.608756767000045,-73.97359866999993,POINT (-73.97359866999993 40.608756767000045)
1061,238107378,12/21/2021,440.0,AGGRAVATED GRAND LARCENY OF ATM,109.0,GRAND LARCENY,PL 1553502,F,Q,108,0,25-44,F,WHITE,998826,211014,40.745857483000066,-73.94739760699997,POINT (-73.94739760699997 40.745857483000066)
1092,238225206,12/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,1,0,<18,M,BLACK,982466,197787,40.709564416000035,-74.00643628099994,POINT (-74.00643628099994 40.709564416000035)
1103,236138219,11/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,25-44,F,BLACK,987220,212676,40.750430768000044,-73.98928217599996,POINT (-73.98928217599996 40.75043076800005)
1184,237810977,12/14/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,40,0,<18,M,BLACK,1008135,235470,40.81296247400008,-73.91371510899995,POINT (-73.91371510899995 40.81296247400008)
1216,237997361,12/17/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,102,0,45-64,M,WHITE HISPANIC,1031076,193779,40.69843969400005,-73.83112953899997,POINT (-73.83112953899997 40.69843969400005)
1227,238435262,12/30/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,115,0,25-44,F,WHITE HISPANIC,1014020,211811,40.74800695200002,-73.89255995599996,POINT (-73.89255995599996 40.74800695200002)
1266,237270473,12/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,44,0,25-44,M,BLACK HISPANIC,1005928,245589,40.840741930000036,-73.92165536399993,POINT (-73.92165536399993 40.840741930000036)
1272,236958220,11/26/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,5,0,25-44,M,BLACK,984984,200116,40.71595711700007,-73.997353676,POINT (-73.997353676 40.71595711700007)
1305,236843473,11/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,19,0,25-44,M,WHITE HISPANIC,995098,215855,40.759150161000036,-73.96084390699998,POINT (-73.96084390699998 40.759150161000036)
1307,237003102,11/27/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,84,0,25-44,M,WHITE HISPANIC,988897,192615,40.69536744700008,-73.98324342499996,POINT (-73.98324342499996 40.69536744700008)
1325,237551300,12/08/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,Q,109,0,25-44,M,BLACK HISPANIC,1030272,215099,40.75696201900007,-73.83388324699997,POINT (-73.83388324699997 40.75696201900007)
1347,236353391,11/16/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,76,0,25-44,M,WHITE HISPANIC,984110,188364,40.683700646000034,-74.00050622499998,POINT (-74.00050622499998 40.683700646000034)
1353,237289796,12/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,9,0,25-44,F,BLACK,987633,203880,40.72628777500006,-73.98779600499995,POINT (-73.98779600499995 40.72628777500006)
1361,236969081,11/26/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,M,1,0,25-44,F,BLACK,982351,201758,40.720463840000036,-74.00685220399998,POINT (-74.00685220399998 40.720463840000036)
1432,236791705,11/22/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,M,23,0,25-44,M,BLACK HISPANIC,998829,226859,40.78934789300007,-73.94735241299998,POINT (-73.94735241299998 40.78934789300007)
1438,236438906,11/18/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,102,0,<18,M,BLACK,1030053,191481,40.69213758100005,-73.83483447299993,POINT (-73.83483447299993 40.69213758100005)
1452,236144262,11/11/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,Q,106,0,25-44,M,ASIAN / PACIFIC ISLANDER,1034549,185629,40.67605079800006,-73.81866549099993,POINT (-73.81866549099993 40.67605079800006)
1481,237919269,12/16/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,75,0,45-64,M,WHITE,1017119,183909,40.67141166300007,-73.88151172399995,POINT (-73.88151172399995 40.67141166300007)
1495,236969077,11/26/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,18-24,F,ASIAN / PACIFIC ISLANDER,987220,212676,40.750430768000044,-73.98928217599996,POINT (-73.98928217599996 40.75043076800005)
1497,237425529,12/06/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,106,0,25-44,M,ASIAN / PACIFIC ISLANDER,1028605,187930,40.68239828900005,-73.84007936899997,POINT (-73.84007936899997 40.68239828900005)
1528,238444412,12/30/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,Q,102,0,25-44,M,WHITE HISPANIC,1024300,191688,40.69273365000004,-73.85557868999997,POINT (-73.85557868999997 40.69273365000004)
1550,236732680,11/22/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,23,0,25-44,M,BLACK,999998,226211,40.78756730100001,-73.94313233199995,POINT (-73.94313233199995 40.78756730100001)
1559,237739825,12/12/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,K,73,2,18-24,F,BLACK,1011208,181004,40.66345806000004,-73.90283193199997,POINT (-73.90283193199997 40.66345806000004)
1579,236495187,11/19/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,9,0,65+,M,WHITE,987633,203880,40.72628777500006,-73.98779600499995,POINT (-73.98779600499995 40.72628777500006)
1608,237529308,12/08/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,B,40,0,25-44,M,BLACK,1005041,234533,40.810398494000026,-73.92489531099994,POINT (-73.92489531099994 40.810398494000026)
1617,236345836,11/16/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,77,0,<18,M,BLACK,1002427,186192,40.677720339000075,-73.93446884699993,POINT (-73.93446884699993 40.677720339000075)
1661,238095147,12/20/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,25-44,M,BLACK,985802,213781,40.753464076000064,-73.99439974299997,POINT (-73.99439974299997 40.75346407600006)
1664,236353389,11/16/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,76,0,25-44,M,WHITE HISPANIC,984110,188364,40.683700646000034,-74.00050622499998,POINT (-74.00050622499998 40.683700646000034)
1687,237302059,12/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,5,0,18-24,F,BLACK,985275,197741,40.70943827700007,-73.99630430899998,POINT (-73.99630430899998 40.70943827700007)
1741,238106810,12/21/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,Q,105,0,25-44,M,BLACK,1057767,203993,40.726293088000034,-73.73476084899994,POINT (-73.73476084899994 40.726293088000034)
1749,238356513,12/28/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,19,0,25-44,M,BLACK HISPANIC,994297,218680,40.76690500600006,-73.96373101899997,POINT (-73.96373101899997 40.76690500600006)
1783,236794938,11/22/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,B,46,0,45-64,M,BLACK,1012903,253472,40.862358540000045,-73.89641346699995,POINT (-73.89641346699995 40.86235854000005)
1784,237079215,11/29/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,34,0,<18,M,WHITE HISPANIC,1002162,249364,40.851111636000034,-73.93525591199995,POINT (-73.93525591199995 40.851111636000034)
1817,237954613,12/16/2021,440.0,AGGRAVATED GRAND LARCENY OF ATM,109.0,GRAND LARCENY,PL 1553502,F,Q,105,0,25-44,M,WHITE HISPANIC,1054359,203570,40.72515972700006,-73.74706084499995,POINT (-73.74706084499996 40.72515972700006)
1832,237642621,12/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,72,0,25-44,M,BLACK,984058,178998,40.65799306600008,-74.00069344599996,POINT (-74.00069344599996 40.65799306600008)
1856,237166636,12/01/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,23,0,18-24,F,BLACK,998829,226859,40.78934789300007,-73.94735241299998,POINT (-73.94735241299998 40.78934789300007)
