,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
125464,224901862,02/26/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,1,0,18-24,M,BLACK,981210,196970,40.70732160200004,-74.01096626599998,POINT (-74.01096626599998 40.70732160200004)
125474,224807224,02/24/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,71,0,18-24,M,BLACK,999005,181250,40.66416202000005,-73.94681681999998,POINT (-73.94681681999998 40.66416202000005)
125483,224692552,02/22/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,Q,115,0,25-44,M,BLACK,1023769,215498,40.758088628000046,-73.85735368899999,POINT (-73.85735368899999 40.758088628000046)
125486,224767425,02/24/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,81,0,25-44,M,BLACK,1005312,190540,40.68964821100008,-73.92405412199997,POINT (-73.92405412199997 40.68964821100008)
125535,226642204,04/07/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,6,0,45-64,M,WHITE,982746,206647,40.73388303300004,-74.00542831099993,POINT (-74.00542831099993 40.73388303300004)
125559,225634439,03/15/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,107,0,18-24,M,BLACK,1036628,204948,40.72906475000008,-73.81102013199995,POINT (-73.81102013199995 40.72906475000008)
125570,226797331,04/11/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0,45-64,M,BLACK,995190,197028,40.70747455900005,-73.96054242799994,POINT (-73.96054242799994 40.70747455900005)
125578,225089332,03/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553002,F,B,43,0,25-44,F,WHITE HISPANIC,1022611,242971,40.83349957600007,-73.86137666999997,POINT (-73.86137666999997 40.83349957600007)
125593,225136329,03/04/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,14,0,25-44,M,BLACK,985802,213781,40.753464076000064,-73.99439974299997,POINT (-73.99439974299997 40.75346407600006)
125631,226705179,04/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,19,0,<18,M,BLACK,999100,223078,40.778969603000064,-73.94638210999993,POINT (-73.94638210999993 40.778969603000064)
125667,226723597,04/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,84,0,45-64,F,WHITE,988897,192615,40.69536744700008,-73.98324342499996,POINT (-73.98324342499996 40.69536744700008)
125686,225138682,03/04/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,109,0,25-44,M,BLACK HISPANIC,1032084,216954,40.762043893000055,-73.82732958099997,POINT (-73.82732958099997 40.762043893000055)
125710,225180111,03/05/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,106,0,45-64,M,BLACK,1028605,187930,40.68239828900005,-73.84007936899997,POINT (-73.84007936899997 40.68239828900005)
125782,225028372,03/02/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,52,0,45-64,M,BLACK,1017440,256046,40.86940749200004,-73.87999831299999,POINT (-73.87999831299999 40.86940749200004)
125786,225260592,03/06/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,94,0,25-44,M,BLACK,997580,207756,40.736917049000056,-73.95190079599996,POINT (-73.95190079599996 40.736917049000056)
125789,226671396,04/08/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,Q,114,0,25-44,M,WHITE,1009012,221484,40.77457228400005,-73.91059844899995,POINT (-73.91059844899996 40.77457228400005)
125795,225855116,03/19/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,M,17,0,25-44,F,WHITE HISPANIC,991266,209677,40.742196980000074,-73.97468254999995,POINT (-73.97468254999995 40.742196980000074)
125820,225616315,03/15/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,9,0,18-24,M,WHITE HISPANIC,987633,203880,40.72628777500006,-73.98779600499995,POINT (-73.98779600499995 40.72628777500006)
125948,225019165,03/02/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,78,0,25-44,F,WHITE,991360,187427,40.68112594000007,-73.97436682299997,POINT (-73.97436682299997 40.68112594000007)
125949,224817358,02/25/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,K,79,0,<18,M,BLACK,999507,190206,40.688743368000075,-73.94498708099997,POINT (-73.94498708099997 40.688743368000075)
125987,225634442,03/15/2021,440.0,AGGRAVATED GRAND LARCENY OF ATM,109.0,GRAND LARCENY,PL 1553502,F,Q,107,0,18-24,M,BLACK,1036628,204948,40.72906475000008,-73.81102013199995,POINT (-73.81102013199995 40.72906475000008)
126005,226548495,04/06/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,18,0,45-64,F,BLACK,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
126056,226768375,04/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,13,0,45-64,M,BLACK,988972,207813,40.737082284000046,-73.98296229999994,POINT (-73.98296229999994 40.737082284000046)
126123,225454890,03/11/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,6,0,25-44,M,WHITE,982746,206647,40.73388303300004,-74.00542831099993,POINT (-74.00542831099993 40.73388303300004)
126147,224857882,02/25/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,24,0,45-64,M,BLACK,993373,229301,40.79605784000006,-73.96705230699997,POINT (-73.96705230699997 40.79605784000006)
126148,225021649,03/02/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,26,0,25-44,F,WHITE HISPANIC,996343,236150,40.814852894000076,-73.95631335299998,POINT (-73.95631335299998 40.814852894000076)
126153,225367299,03/09/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,105,0,25-44,M,BLACK,1057167,200948,40.717940301000056,-73.73695855299998,POINT (-73.73695855299998 40.717940301000056)
126157,225414190,03/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,19,0,25-44,F,WHITE,993570,216847,40.76187469000007,-73.96635808399995,POINT (-73.96635808399996 40.76187469000007)
126163,226218544,03/28/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,79,0,25-44,M,BLACK,995986,191677,40.69278629300004,-73.95768069299999,POINT (-73.95768069299999 40.69278629300004)
126175,225402393,03/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,33,0,18-24,F,WHITE HISPANIC,1001889,245601,40.840783858000066,-73.93625260699997,POINT (-73.93625260699997 40.840783858000066)
126180,226779863,04/11/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,Q,113,3,25-44,F,BLACK HISPANIC,1046315,187088,40.67998073800004,-73.77623390699993,POINT (-73.77623390699993 40.67998073800004)
126215,226406674,04/01/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,24,0,25-44,M,WHITE HISPANIC,991075,227074,40.78994739900003,-73.97535415699997,POINT (-73.97535415699997 40.78994739900003)
126220,225028384,03/02/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,78,0,45-64,M,BLACK,991360,187427,40.68112594000007,-73.97436682299997,POINT (-73.97436682299997 40.68112594000007)
126223,225095902,03/03/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,75,0,25-44,M,BLACK,1017119,183909,40.67141166300007,-73.88151172399995,POINT (-73.88151172399995 40.67141166300007)
126259,226419141,04/02/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,Q,107,0,18-24,F,BLACK,1038225,197218,40.70783820500003,-73.80532011199995,POINT (-73.80532011199995 40.70783820500003)
126260,225396980,03/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,5,0,25-44,F,BLACK,984984,200116,40.71595711700007,-73.997353676,POINT (-73.997353676 40.71595711700007)
126293,226288918,03/30/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,104,0,45-64,M,WHITE HISPANIC,1008296,199807,40.71507634200003,-73.91326105399997,POINT (-73.91326105399997 40.71507634200003)
126295,225251919,03/06/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,S,120,0,<18,M,BLACK,959620,174486,40.64557435600005,-74.08875593199997,POINT (-74.08875593199997 40.64557435600005)
126397,225895004,03/20/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,43,0,18-24,M,BLACK HISPANIC,1021952,244961,40.83896438200002,-73.86374690299994,POINT (-73.86374690299994 40.83896438200002)
126399,225121495,03/04/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,5,73,45-64,M,WHITE,983907,199959,40.71552621300003,-74.00123874799993,POINT (-74.00123874799993 40.71552621300003)
126429,225136331,03/04/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,14,0,25-44,M,BLACK,985802,213781,40.753464076000064,-73.99439974299997,POINT (-73.99439974299997 40.75346407600006)
126431,224934874,02/28/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,94,0,25-44,M,BLACK,997245,204130,40.726965067000044,-73.95311662899995,POINT (-73.95311662899996 40.726965067000044)
126464,225329140,03/08/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,62,0,<18,M,WHITE HISPANIC,987980,164901,40.619299023000046,-73.98656563599997,POINT (-73.98656563599997 40.619299023000046)
126485,224777573,02/24/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,1,0,25-44,M,WHITE,981078,199628,40.714617135000026,-74.01144362299993,POINT (-74.01144362299993 40.714617135000026)
126490,226195994,03/27/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,K,69,0,<18,F,BLACK HISPANIC,1007291,173076,40.64170849300007,-73.91697774599999,POINT (-73.91697774599999 40.64170849300007)
